"       MOD"
"L4_position, DISPLACEMENT, I = 40, J = 24, RM = 24"

"Time      ","L4_position.X","L4_position.Y","L4_position.Z","L4_position.X","L4_position.Y","L4_position.Z","L4_position.R1","L4_position.R2","L4_position.R3"
0.000000e+000,-5.020539e-016,7.361936e+001,-7.060017e+000,-5.020539e-016,7.361936e+001,-7.060017e+000,1.800000e+002,1.450000e+000,1.800000e+002
1.666667e-002,-5.681388e-013,7.362633e+001,-7.076383e+000,-5.681388e-013,7.362633e+001,-7.076383e+000,-1.800000e+002,1.534214e+000,1.800000e+002
3.333333e-002,-1.081993e-012,7.363376e+001,-7.087830e+000,-1.081993e-012,7.363376e+001,-7.087830e+000,-1.800000e+002,1.580322e+000,1.800000e+002
5.000000e-002,-1.292380e-012,7.364024e+001,-7.093890e+000,-1.292380e-012,7.364024e+001,-7.093890e+000,-1.800000e+002,1.594493e+000,1.800000e+002
6.666667e-002,-1.413405e-012,7.364540e+001,-7.097467e+000,-1.413405e-012,7.364540e+001,-7.097467e+000,-1.800000e+002,1.599196e+000,1.800000e+002
8.333333e-002,-1.483267e-012,7.364934e+001,-7.099673e+000,-1.483267e-012,7.364934e+001,-7.099673e+000,-1.800000e+002,1.600769e+000,1.800000e+002
1.000000e-001,-1.503664e-012,7.365221e+001,-7.101135e+000,-1.503664e-012,7.365221e+001,-7.101135e+000,-1.800000e+002,1.602096e+000,1.800000e+002
1.166667e-001,-1.486364e-012,7.365436e+001,-7.102222e+000,-1.486364e-012,7.365436e+001,-7.102222e+000,-1.800000e+002,1.603572e+000,1.800000e+002
1.333333e-001,-1.493404e-012,7.365600e+001,-7.103069e+000,-1.493404e-012,7.365600e+001,-7.103069e+000,-1.800000e+002,1.604816e+000,1.800000e+002
1.500000e-001,-1.495507e-012,7.365699e+001,-7.103543e+000,-1.495507e-012,7.365699e+001,-7.103543e+000,-1.800000e+002,1.605860e+000,1.800000e+002
1.666667e-001,-1.497504e-012,7.365783e+001,-7.103947e+000,-1.497504e-012,7.365783e+001,-7.103947e+000,-1.800000e+002,1.606591e+000,1.800000e+002
1.833333e-001,-1.496364e-012,7.365832e+001,-7.104159e+000,-1.496364e-012,7.365832e+001,-7.104159e+000,-1.800000e+002,1.607054e+000,1.800000e+002
2.000000e-001,-1.496479e-012,7.365861e+001,-7.104269e+000,-1.496479e-012,7.365861e+001,-7.104269e+000,-1.800000e+002,1.607346e+000,1.800000e+002
2.166667e-001,-1.501069e-012,7.365882e+001,-7.104348e+000,-1.501069e-012,7.365882e+001,-7.104348e+000,-1.800000e+002,1.607539e+000,1.800000e+002
2.333333e-001,-1.511109e-012,7.365888e+001,-7.104353e+000,-1.511109e-012,7.365888e+001,-7.104353e+000,-1.800000e+002,1.607595e+000,1.800000e+002
2.500000e-001,-1.527593e-012,7.365895e+001,-7.104368e+000,-1.527593e-012,7.365895e+001,-7.104368e+000,-1.800000e+002,1.607659e+000,1.800000e+002
2.666667e-001,-1.548764e-012,7.365896e+001,-7.104357e+000,-1.548764e-012,7.365896e+001,-7.104357e+000,-1.800000e+002,1.607667e+000,1.800000e+002
